"ROL3","Language","ROG3","EditName","EditDate"
"saa","Saba","CD","BM",9/17/2008 0:00:00
"sab","Buglere","PM","BM",6/27/2013 0:00:00
"sac","Meskwaki","US","BM",6/27/2013 0:00:00
"sad","Sandawe","TZ","BM",6/27/2013 0:00:00
"sae","Sabane","BR","BM",5/16/2013 0:00:00
"saf","Safaliba","GH","BM",6/27/2013 0:00:00
"sag","Sango","CT","BM",6/27/2013 0:00:00
"sah","Yakut","RS","BM",6/27/2013 0:00:00
"saj","Sahu","ID","BM",6/27/2013 0:00:00
"sak","Sake","GB","BM",9/17/2008 0:00:00
"sam","Samaritan Aramaic","WE","BM",9/17/2008 0:00:00
"san","Sanskrit","IN","BM",6/27/2013 0:00:00
"sao","Sause","ID","BM",9/17/2008 0:00:00
"saq","Samburu","KE","BM",6/27/2013 0:00:00
"sas","Sasak","ID","BM",4/4/2014 0:00:00
"sat","Santhali","IN","BM",6/27/2013 0:00:00
"sau","Saleman","ID","BM",9/17/2008 0:00:00
"sav","Saafi-Saafi","SG","BM",9/17/2008 0:00:00
"saw","Sawi","ID","BM",6/27/2013 0:00:00
"sax","Sa","NH","BM",9/17/2008 0:00:00
"say","Saya","NI","BM",9/17/2008 0:00:00
"saz","Saurashtra","IN","BM",6/27/2013 0:00:00
"sba","Ngambay","CD","BM",6/27/2013 0:00:00
"sbb","Simbo","BP","BM",9/17/2008 0:00:00
"sbc","Kele","PP","BM",9/17/2008 0:00:00
"sbd","Samo, Southern","UV","BM",6/27/2013 0:00:00
"sbe","Saliba","PP","BM",12/17/2010 0:00:00
"sbf","Shabo","ET","BM",9/17/2008 0:00:00
"sbg","Seget","ID","BM",9/17/2008 0:00:00
"sbh","Sori-Harengan","PP","BM",9/17/2008 0:00:00
"sbi","Seti","PP","BM",9/17/2008 0:00:00
"sbj","Surbakhal","CD","BM",9/17/2008 0:00:00
"sbk","Safwa","TZ","BM",6/27/2013 0:00:00
"sbl","Sambal, Botolan","RP","BM",6/27/2013 0:00:00
"sbm","Sagala","TZ","BM",9/17/2008 0:00:00
"sbn","Sindhi Bhil","PK","BM",9/17/2008 0:00:00
"sbo","Sabum","MY","BM",9/17/2008 0:00:00
"sbp","Sangu","TZ","BM",6/27/2013 0:00:00
"sbq","Sileibi","PP","BM",9/17/2008 0:00:00
"sbr","Murut, Sembakung","ID","BM",9/17/2008 0:00:00
"sbs","Kuhane","WA","BM",9/17/2008 0:00:00
"sbt","Kimki","ID","BM",9/17/2008 0:00:00
"sbu","Stod Bhoti","IN","BM",9/17/2008 0:00:00
"sbw","Simba","GB","BM",9/17/2008 0:00:00
"sbx","Seberuang","ID","BM",9/17/2008 0:00:00
"sby","Soli","ZA","BM",12/17/2010 0:00:00
"sbz","Sara Kaba","CT","BM",9/17/2008 0:00:00
"scb","Chut","VM","BM",9/17/2008 0:00:00
"sce","Dongxiang","CH","BM",9/17/2008 0:00:00
"scf","San Miguel Creole French","PM","BM",9/17/2008 0:00:00
"scg","Sanggau","ID","BM",9/17/2008 0:00:00
"sch","Sakachep","IN","BM",12/17/2010 0:00:00
"sci","Sri Lankan Creole Malay","CE","BM",9/17/2008 0:00:00
"sck","Sadri","IN","BM",6/27/2013 0:00:00
"scl","Shina","PK","BM",12/17/2010 0:00:00
"scn","Sicilian","IT","BM",12/17/2010 0:00:00
"sco","Scots","UK","BM",6/27/2013 0:00:00
"scp","Helambu Sherpa","NP","BM",12/17/2010 0:00:00
"scq","Sa'och","CB","BM",5/16/2013 0:00:00
"scs","Slavey, North","CA","BM",9/17/2008 0:00:00
"scu","Shumcho","IN","BM",9/17/2008 0:00:00
"scv","Sheni","NI","BM",9/17/2008 0:00:00
"scw","Sha","NI","BM",9/17/2008 0:00:00
"sda","Toraja-Sadan","ID","BM",6/27/2013 0:00:00
"sdb","Shabak","IZ","BM",9/17/2008 0:00:00
"sdc","Sardinian, Sassarese","IT","BM",6/27/2013 0:00:00
"sde","Surubu","NI","BM",9/17/2008 0:00:00
"sdf","Sarli","IZ","BM",9/17/2008 0:00:00
"sdg","Savi","AF","BM",9/17/2008 0:00:00
"sdh","Kurdish, Southern","IR","BM",6/27/2013 0:00:00
"sdj","Suundi","CF","BM",9/17/2008 0:00:00
"sdk","Sos Kundi","PP","BM",5/17/2013 0:00:00
"sdl","Saudi Arabian Sign Language","SA","BM",9/17/2008 0:00:00
"sdm","Semandang","ID","BM",12/17/2010 0:00:00
"sdn","Sardinian, Gallurese","IT","BM",6/27/2013 0:00:00
"sdo","Bidayuh, Bukar-Sadong","MY","BM",9/17/2008 0:00:00
"sdp","Sherdukpen","IN","BM",9/17/2008 0:00:00
"sdr","Sadri, Oraon","BG","BM",12/17/2010 0:00:00
"sdu","Sarudu","ID","BM",9/17/2008 0:00:00
"sdx","Melanau, Sibu","MY","BM",9/17/2008 0:00:00
"sdz","Sallands","NL","BM",9/17/2008 0:00:00
"sea","Semai","MY","BM",6/27/2013 0:00:00
"seb","Senoufo, Shempire","IV","BM",9/17/2008 0:00:00
"sec","Sechelt","CA","BM",9/17/2008 0:00:00
"sed","Sedang","VM","BM",9/17/2008 0:00:00
"see","Seneca","US","BM",6/27/2013 0:00:00
"sef","Senoufo, Cebaara","IV","BM",6/27/2013 0:00:00
"seg","Segeju","TZ","BM",9/17/2008 0:00:00
"seh","Sena","MZ","BM",6/27/2013 0:00:00
"sei","Seri","MX","BM",6/27/2013 0:00:00
"sej","Sene","PP","BM",9/17/2008 0:00:00
"sek","Sekani","CA","BM",12/17/2010 0:00:00
"sel","Selkup","RS","BM",9/17/2008 0:00:00
"sen","Senoufo, Nanerige","UV","BM",9/17/2008 0:00:00
"seo","Suarmin","PP","BM",9/17/2008 0:00:00
"sep","Senoufo, Sicite","UV","BM",6/27/2013 0:00:00
"seq","Senoufo, Senara","UV","BM",9/17/2008 0:00:00
"ser","Serrano","US","BM",9/17/2008 0:00:00
"ses","Songhay, Koyraboro Senni","ML","BM",10/16/2014 0:00:00
"set","Sentani","ID","BM",6/27/2013 0:00:00
"seu","Serui-Laut","ID","BM",9/17/2008 0:00:00
"sev","Senoufo, Nyarafolo","IV","BM",12/17/2010 0:00:00
"sew","Sewa Bay","PP","BM",9/17/2008 0:00:00
"sey","Secoya","EC","BM",6/27/2013 0:00:00
"sez","Chin, Senthang","BM","BM",9/17/2008 0:00:00
"sfb","French Belgian Sign Language","BE","BM",9/17/2008 0:00:00
"sfe","Subanen, Eastern","RP","BM",5/17/2013 0:00:00
"sfm","Miao, Small Flowery","CH","BM",9/17/2008 0:00:00
"sfs","South African Sign Language","SF","BM",9/17/2008 0:00:00
"sfw","Sehwi","GH","BM",12/17/2010 0:00:00
"sgb","Ayta, Mag-antsi","RP","BM",6/27/2013 0:00:00
"sgc","Kipsigis","KE","BM",9/17/2008 0:00:00
"sgd","Surigaonon","RP","BM",5/17/2013 0:00:00
"sge","Segai","ID","BM",9/17/2008 0:00:00
"sgg","Swiss-German Sign Language","SZ","BM",9/17/2008 0:00:00
"sgh","Shughni","TI","BM",12/17/2010 0:00:00
"sgi","Suga","CM","BM",9/17/2008 0:00:00
"sgj","Surgujia","IN","BM",5/17/2013 0:00:00
"sgk","Sangkong","CH","BM",9/17/2008 0:00:00
"sgp","Singpho","IN","BM",12/17/2010 0:00:00
"sgr","Sangisari","IR","BM",9/17/2008 0:00:00
"sgs","Samogitian","LH","BM",3/11/2016 0:00:00
"sgt","Brokpake","BT","BM",9/17/2008 0:00:00
"sgu","Salas","ID","BM",9/17/2008 0:00:00
"sgw","Sebat Bet Gurage","ET","BM",6/27/2013 0:00:00
"sgx","Sierra Leone Sign Language","SL","BM",9/17/2008 0:00:00
"sgy","Sanglechi","AF","BM",5/17/2013 0:00:00
"sgz","Sursurunga","PP","BM",6/27/2013 0:00:00
"sha","Shall-Zwall","NI","BM",9/17/2008 0:00:00
"shb","Ninam","BR","BM",12/17/2010 0:00:00
"shc","Sonde","CG","BM",9/17/2008 0:00:00
"shd","Kundal Shahi","PK","BM",5/17/2013 0:00:00
"she","Sheko","ET","BM",9/17/2008 0:00:00
"shg","Shua","BC","BM",12/17/2010 0:00:00
"shh","Shoshoni","US","BM",12/17/2010 0:00:00
"shi","Tachelhit","MO","BM",6/27/2013 0:00:00
"shj","Shatt","SU","BM",9/17/2008 0:00:00
"shk","Shilluk","OD","BM",6/27/2013 0:00:00
"shl","Shendu","IN","BM",9/17/2008 0:00:00
"shm","Shahrudi","IR","BM",9/17/2008 0:00:00
"shn","Shan","BM","BM",6/27/2013 0:00:00
"sho","Shanga","NI","BM",9/17/2008 0:00:00
"shp","Shipibo-Conibo","PE","BM",6/27/2013 0:00:00
"shq","Sala","ZA","BM",9/17/2008 0:00:00
"shr","Shi","CG","BM",6/27/2013 0:00:00
"shs","Shuswap","CA","BM",9/17/2008 0:00:00
"sht","Shasta","US","BM",5/31/2013 0:00:00
"shu","Arabic, Chadian Spoken","CD","BM",6/27/2013 0:00:00
"shv","Shehri","MU","BM",9/17/2008 0:00:00
"shw","Shwai","SU","BM",9/17/2008 0:00:00
"shx","She","CH","BM",9/17/2008 0:00:00
"shy","Tachawit","AG","BM",12/17/2010 0:00:00
"shz","Senoufo, Syenara","ML","BM",9/17/2008 0:00:00
"sia","Saami, Akkala","RS","BM",5/31/2013 0:00:00
"sib","Sebop","MY","BM",9/17/2008 0:00:00
"sid","Sidamo","ET","BM",6/27/2013 0:00:00
"sie","Simaa","ZA","BM",9/17/2008 0:00:00
"sif","Siamou","UV","BM",12/17/2010 0:00:00
"sig","Paasaal","GH","BM",6/27/2013 0:00:00
"sih","Sishee","NC","BM",5/16/2013 0:00:00
"sii","Shom Peng","IN","BM",9/17/2008 0:00:00
"sij","Numbami","PP","BM",9/17/2008 0:00:00
"sik","Sikiana","BR","BM",9/17/2008 0:00:00
"sil","Sisaala, Tumulung","GH","BM",6/27/2013 0:00:00
"sim","Mende","PP","BM",12/17/2010 0:00:00
"sin","Sinhala","CE","BM",6/27/2013 0:00:00
"sip","Sikkimese","IN","BM",9/17/2008 0:00:00
"siq","Sonia","PP","BM",9/17/2008 0:00:00
"sir","Siri","NI","BM",9/17/2008 0:00:00
"sis","Siuslaw","US","BM",5/31/2013 0:00:00
"siu","Sinagen","PP","BM",9/17/2008 0:00:00
"siv","Sumariup","PP","BM",9/17/2008 0:00:00
"siw","Siwai","PP","BM",6/27/2013 0:00:00
"six","Sumau","PP","BM",6/27/2013 0:00:00
"siy","Sivandi","IR","BM",9/17/2008 0:00:00
"siz","Siwi","EG","BM",10/20/2014 0:00:00
"sja","Epena","CO","BM",6/27/2013 0:00:00
"sjb","Sajau Basap","ID","BM",9/17/2008 0:00:00
"sjd","Saami, Kildin","RS","BM",9/17/2008 0:00:00
"sje","Saami, Pite","SW","BM",9/17/2008 0:00:00
"sjg","Assangori","CD","BM",9/17/2008 0:00:00
"sjl","Miji","IN","BM",9/17/2008 0:00:00
"sjm","Mapun","RP","BM",6/27/2013 0:00:00
"sjo","Xibe","CH","BM",9/17/2008 0:00:00
"sjp","Surjapuri","IN","BM",9/17/2008 0:00:00
"sjr","Siar-Lak","PP","BM",6/27/2013 0:00:00
"sjs","Senhaja Berber","MO","BM",5/31/2013 0:00:00
"sjt","Saami, Ter","RS","BM",9/17/2008 0:00:00
"sju","Saami, Ume","SW","BM",6/27/2013 0:00:00
"sjw","Shawnee","US","BM",6/27/2013 0:00:00
"ska","Skagit","US","BM",9/17/2008 0:00:00
"skb","Saek","LA","BM",9/17/2008 0:00:00
"skc","Ma Manda","PP","BM",5/16/2013 0:00:00
"skd","Miwok, Southern Sierra","US","BM",9/17/2008 0:00:00
"ske","Seke","NH","BM",9/17/2008 0:00:00
"skf","Sakirabia","BR","BM",9/17/2008 0:00:00
"skg","Malagasy, Sakalava","MA","BM",9/17/2008 0:00:00
"skh","Sikule","ID","BM",9/17/2008 0:00:00
"ski","Sika","ID","BM",9/17/2008 0:00:00
"skj","Seke","NP","BM",9/17/2008 0:00:00
"skk","Sok","LA","BM",9/17/2008 0:00:00
"skm","Kutong","PP","BM",5/16/2013 0:00:00
"skn","Subanon, Kolibugan","RP","BM",9/17/2008 0:00:00
"sko","Seko Tengah","ID","BM",9/17/2008 0:00:00
"skp","Sekapan","MY","BM",9/17/2008 0:00:00
"skq","Sininkere","UV","BM",9/17/2008 0:00:00
"skr","Saraiki","PK","BM",6/27/2013 0:00:00
"sks","Maia","PP","BM",6/27/2013 0:00:00
"skt","Sakata","CG","BM",6/27/2013 0:00:00
"sku","Sakao","NH","BM",6/27/2013 0:00:00
"skv","Skou","ID","BM",9/17/2008 0:00:00
"skx","Seko Padang","ID","BM",6/27/2013 0:00:00
"sky","Sikaiana","BP","BM",9/17/2008 0:00:00
"skz","Sekar","ID","BM",9/17/2008 0:00:00
"slc","Saliba","CO","BM",9/17/2008 0:00:00
"sld","Sissala","UV","BM",6/27/2013 0:00:00
"sle","Sholaga","IN","BM",9/17/2008 0:00:00
"slf","Swiss-Italian Sign Language","SZ","BM",9/17/2008 0:00:00
"slg","Murut, Selungai","ID","BM",9/17/2008 0:00:00
"slh","Salish, Southern Puget Sound","US","BM",9/17/2008 0:00:00
"sli","Silesian, Lower","PL","BM",5/16/2013 0:00:00
"slj","Saluma","BR","BM",9/17/2008 0:00:00
"slk","Slovak","LO","BM",6/27/2013 0:00:00
"sll","Salt-Yui","PP","BM",6/27/2013 0:00:00
"slm","Sama, Pangutaran","RP","BM",6/27/2013 0:00:00
"sln","Salinan","US","BM",5/31/2013 0:00:00
"slp","Lamaholot","ID","BM",9/17/2008 0:00:00
"slq","Salchuq","IR","BM",9/17/2008 0:00:00
"slr","Salar","CH","BM",9/17/2008 0:00:00
"sls","Singapore Sign Language","SN","BM",9/17/2008 0:00:00
"slt","Sila","LA","BM",9/17/2008 0:00:00
"slu","Selaru","ID","BM",6/27/2013 0:00:00
"slv","Slovene","SI","BM",6/27/2013 0:00:00
"slw","Sialum","PP","BM",9/17/2008 0:00:00
"slx","Salampasu","CG","BM",12/17/2010 0:00:00
"sly","Selayar","ID","BM",9/17/2008 0:00:00
"slz","Ma'ya","ID","BM",5/16/2013 0:00:00
"sma","Saami, South","SW","BM",12/17/2010 0:00:00
"smb","Simbari","PP","BM",6/27/2013 0:00:00
"smc","Som","PP","BM",9/17/2008 0:00:00
"smd","Sama","AO","BM",9/17/2008 0:00:00
"sme","Saami, North","NO","BM",6/27/2013 0:00:00
"smf","Auwe","PP","BM",9/17/2008 0:00:00
"smg","Simbali","PP","BM",9/17/2008 0:00:00
"smh","Samei","CH","BM",9/17/2008 0:00:00
"smj","Saami, Lule","SW","BM",6/27/2013 0:00:00
"smk","Bolinao","RP","BM",6/27/2013 0:00:00
"sml","Sama, Central","RP","BM",6/27/2013 0:00:00
"smm","Musasa","NP","BM",9/17/2008 0:00:00
"smn","Saami, Inari","FI","BM",6/27/2013 0:00:00
"smo","Samoan","WS","BM",6/27/2013 0:00:00
"smp","Samaritan","WE","BM",6/27/2013 0:00:00
"smq","Samo","PP","BM",6/27/2013 0:00:00
"smr","Simeulue","ID","BM",9/17/2008 0:00:00
"sms","Saami, Skolt","FI","BM",6/27/2013 0:00:00
"smt","Simte","IN","BM",12/17/2010 0:00:00
"smu","Somray","CB","BM",9/17/2008 0:00:00
"smv","Samvedi","IN","BM",9/17/2008 0:00:00
"smw","Sumbawa","ID","BM",9/17/2008 0:00:00
"smx","Samba","CG","BM",9/17/2008 0:00:00
"smy","Semnani","IR","BM",9/17/2008 0:00:00
"smz","Simeku","PP","BM",9/17/2008 0:00:00
"sna","Shona","ZI","BM",6/27/2013 0:00:00
"snb","Sebuyau","MY","BM",9/17/2008 0:00:00
"snc","Sinaugoro","PP","BM",12/17/2010 0:00:00
"snd","Sindhi","PK","BM",6/27/2013 0:00:00
"sne","Bidayuh, Bau","MY","BM",9/17/2008 0:00:00
"snf","Noon","SG","BM",6/27/2013 0:00:00
"sng","Sanga","CG","BM",6/27/2013 0:00:00
"snj","Sango, Riverain","CT","BM",9/17/2008 0:00:00
"snk","Soninke","ML","BM",6/27/2013 0:00:00
"snl","Sangil","RP","BM",6/27/2013 0:00:00
"snm","Ma'di, Southern","UG","BM",5/16/2013 0:00:00
"snn","Siona","CO","BM",6/27/2013 0:00:00
"sno","Snohomish","US","BM",9/17/2008 0:00:00
"snp","Siane","PP","BM",6/27/2013 0:00:00
"snq","Sangu","GB","BM",6/27/2013 0:00:00
"snr","Sihan","PP","BM",9/17/2008 0:00:00
"sns","Nahavaq","NH","BM",5/16/2013 0:00:00
"snu","Viid","ID","BM",9/17/2008 0:00:00
"snv","Sa'ban","MY","BM",12/17/2010 0:00:00
"snw","Selee","GH","BM",6/27/2013 0:00:00
"snx","Sam","PP","BM",9/17/2008 0:00:00
"sny","Saniyo-Hiyewe","PP","BM",6/27/2013 0:00:00
"snz","Sinsauru","PP","BM",9/17/2008 0:00:00
"soa","Thai Song","TH","BM",12/17/2010 0:00:00
"sob","Sobei","ID","BM",9/17/2008 0:00:00
"soc","So","CG","BM",6/27/2013 0:00:00
"sod","Songoora","CG","BM",9/17/2008 0:00:00
"soe","Songomeno","CG","BM",9/17/2008 0:00:00
"soh","Aka","SU","BM",9/17/2008 0:00:00
"soi","Sonha","NP","BM",9/17/2008 0:00:00
"soj","Soi","IR","BM",9/17/2008 0:00:00
"sok","Sokoro","CD","BM",6/27/2013 0:00:00
"sol","Solos","PP","BM",9/17/2008 0:00:00
"som","Somali","SO","BM",6/27/2013 0:00:00
"soo","Songo","CG","BM",9/17/2008 0:00:00
"sop","Songe","CG","BM",9/30/2015 0:00:00
"soq","Kanasi","PP","BM",12/17/2010 0:00:00
"sor","Somrai","CD","BM",6/27/2013 0:00:00
"sos","Seeku","UV","BM",9/17/2008 0:00:00
"sot","Sotho, Southern","LT","BM",6/27/2013 0:00:00
"sou","Thai, Southern","TH","BM",12/17/2010 0:00:00
"sov","Sonsorolese","PS","BM",9/17/2008 0:00:00
"sow","Sowanda","PP","BM",9/17/2008 0:00:00
"sox","Swo","CM","BM",5/16/2013 0:00:00
"soy","Miyobe","BN","BM",6/27/2013 0:00:00
"soz","Temi","TZ","BM",6/27/2013 0:00:00
"spa","Spanish","SP","BM",6/27/2013 0:00:00
"spb","Sepa","ID","BM",9/17/2008 0:00:00
"spc","Sape","VE","BM",10/23/2008 0:00:00
"spd","Saep","PP","BM",9/17/2008 0:00:00
"spe","Sepa","PP","BM",9/17/2008 0:00:00
"spg","Sian","MY","BM",9/17/2008 0:00:00
"spi","Saponi","ID","BM",9/17/2008 0:00:00
"spk","Sengo","PP","BM",9/17/2008 0:00:00
"spl","Selepet","PP","BM",12/17/2010 0:00:00
"spm","Akukem","PP","BM",6/27/2013 0:00:00
"spn","Sanapana","PA","BM",6/18/2014 0:00:00
"spo","Spokane","US","BM",9/17/2008 0:00:00
"spp","Senoufo, Supyire","ML","BM",6/27/2013 0:00:00
"spq","Spanish, Charapa","PE","BM",9/17/2008 0:00:00
"spr","Saparua","ID","BM",9/17/2008 0:00:00
"sps","Saposa","PP","BM",6/27/2013 0:00:00
"spt","Spiti Bhoti","IN","BM",9/17/2008 0:00:00
"spu","Sapuan","LA","BM",9/17/2008 0:00:00
"spv","Sambalpuri","IN","BM",5/17/2013 0:00:00
"spy","Sabaot","KE","BM",6/27/2013 0:00:00
"sqa","Shama-Sambuga","NI","BM",9/17/2008 0:00:00
"sqh","Shau","NI","BM",9/17/2008 0:00:00
"sqk","Albanian Sign Language","AL","BM",5/17/2013 0:00:00
"sqm","Suma","CT","BM",9/17/2008 0:00:00
"sqo","Sorkhei","IR","BM",9/17/2008 0:00:00
"sqq","Sou","LA","BM",9/17/2008 0:00:00
"sqs","Sri Lankan Sign Language","CE","BM",9/17/2008 0:00:00
"sqt","Soqotri","YM","BM",12/17/2010 0:00:00
"squ","Squamish","CA","BM",9/17/2008 0:00:00
"sra","Saruga","PP","BM",9/17/2008 0:00:00
"srb","Sora","IN","BM",6/27/2013 0:00:00
"src","Sardinian, Logudorese","IT","BM",6/27/2013 0:00:00
"sre","Bakati', Sara","ID","BM",12/17/2010 0:00:00
"srf","Nafi","PP","BM",9/17/2008 0:00:00
"srg","Sulod","RP","BM",9/17/2008 0:00:00
"srh","Sarikoli","CH","BM",9/17/2008 0:00:00
"sri","Siriano","CO","BM",6/27/2013 0:00:00
"srk","Murut, Serudung","MY","BM",9/17/2008 0:00:00
"srl","Isirawa","ID","BM",6/27/2013 0:00:00
"srm","Saramaccan","NS","BM",6/27/2013 0:00:00
"srn","Sranan","NS","BM",6/27/2013 0:00:00
"sro","Sardinian, Campidanese","IT","BM",6/27/2013 0:00:00
"srp","Serbian","RI","BM",6/27/2013 0:00:00
"srq","Siriono","BL","BM",6/27/2013 0:00:00
"srr","Serer-Sine","SG","BM",6/27/2013 0:00:00
"srs","Sarsi","CA","BM",9/17/2008 0:00:00
"srt","Sauri","ID","BM",9/17/2008 0:00:00
"sru","Surui","BR","BM",6/27/2013 0:00:00
"srv","Sorsoganon, Southern","RP","BM",5/16/2013 0:00:00
"srw","Serua","ID","BM",9/17/2008 0:00:00
"srx","Sirmauri","IN","BM",9/17/2008 0:00:00
"sry","Sera","PP","BM",9/17/2008 0:00:00
"srz","Shahmirzadi","IR","BM",9/17/2008 0:00:00
"ssb","Sama, Southern","RP","BM",6/27/2013 0:00:00
"ssc","Suba-Simbiti","TZ","BM",6/27/2013 0:00:00
"ssd","Siroi","PP","BM",6/27/2013 0:00:00
"sse","Sama, Balangingih","RP","BM",6/27/2013 0:00:00
"ssf","Thao","TW","BM",9/17/2008 0:00:00
"ssg","Seimat","PP","BM",11/13/2014 0:00:00
"ssh","Arabic, Shihhi Spoken","AE","BM",9/17/2008 0:00:00
"ssi","Sansi","IN","BM",9/17/2008 0:00:00
"ssj","Sausi","PP","BM",9/17/2008 0:00:00
"ssk","Sunam","IN","BM",9/17/2008 0:00:00
"ssl","Sisaala, Western","GH","BM",12/17/2010 0:00:00
"ssm","Semnam","MY","BM",9/17/2008 0:00:00
"ssn","Waata","KE","BM",9/17/2008 0:00:00
"sso","Sissano","PP","BM",6/10/2011 0:00:00
"ssp","Spanish Sign Language","SP","BM",9/17/2008 0:00:00
"ssq","So'a","ID","BM",5/16/2013 0:00:00
"ssr","Swiss-French Sign Language","SZ","BM",9/17/2008 0:00:00
"sss","So","LA","BM",6/27/2013 0:00:00
"sst","Sinasina","PP","BM",6/27/2013 0:00:00
"ssu","Susuami","PP","BM",9/17/2008 0:00:00
"ssv","Shark Bay","NH","BM",9/17/2008 0:00:00
"ssw","Swati","WZ","BM",6/27/2013 0:00:00
"ssx","Samberigi","PP","BM",6/27/2013 0:00:00
"ssy","Saho","ER","BM",12/17/2010 0:00:00
"ssz","Sengseng","PP","BM",12/17/2010 0:00:00
"sta","Settla","ZA","BM",9/17/2008 0:00:00
"stb","Subanen, Northern","RP","BM",6/27/2013 0:00:00
"std","Sentinel","IN","BM",9/17/2008 0:00:00
"ste","Liana-Seti","ID","BM",9/17/2008 0:00:00
"stf","Seta","PP","BM",9/17/2008 0:00:00
"stg","Trieng","VM","BM",9/17/2008 0:00:00
"sth","Shelta","EI","BM",9/17/2008 0:00:00
"sti","Stieng, Bulo","VM","BM",12/17/2010 0:00:00
"stj","Samo, Matya","UV","BM",9/17/2008 0:00:00
"stk","Arammba","PP","BM",6/27/2013 0:00:00
"stl","Stellingwerfs","NL","BM",9/17/2008 0:00:00
"stm","Setaman","PP","BM",9/17/2008 0:00:00
"stn","Owa","BP","BM",6/27/2013 0:00:00
"sto","Stoney","CA","BM",6/27/2013 0:00:00
"stp","Tepehuan, Southeastern","MX","BM",6/27/2013 0:00:00
"stq","Saterfriesisch","GM","BM",9/17/2008 0:00:00
"str","Salish, Straits","CA","BM",9/17/2008 0:00:00
"sts","Shumashti","AF","BM",9/17/2008 0:00:00
"stt","Stieng, Budeh","VM","BM",9/17/2008 0:00:00
"stu","Samtao","BM","BM",9/17/2008 0:00:00
"stv","Silt'e","ET","BM",6/27/2013 0:00:00
"stw","Satawalese","FM","BM",9/17/2008 0:00:00
"sty","Tatar, Siberian","RS","BM",7/26/2016 0:00:00
"sua","Sulka","PP","BM",12/17/2010 0:00:00
"sub","Suku","CG","BM",12/17/2010 0:00:00
"suc","Subanon, Western","RP","BM",6/27/2013 0:00:00
"sue","Suena","PP","BM",12/17/2010 0:00:00
"sug","Suganga","PP","BM",9/17/2008 0:00:00
"sui","Suki","PP","BM",6/27/2013 0:00:00
"suj","Shubi","TZ","BM",9/17/2008 0:00:00
"suk","Sukuma","TZ","BM",6/27/2013 0:00:00
"sun","Sunda","ID","BM",6/27/2013 0:00:00
"suq","Suri","ET","BM",12/17/2010 0:00:00
"sur","Mwaghavul","NI","BM",6/27/2013 0:00:00
"sus","Susu","GV","BM",6/27/2013 0:00:00
"sut","Subtiaba","NU","BM",5/31/2013 0:00:00
"suv","Puroik","IN","BM",5/16/2013 0:00:00
"suw","Sumbwa","TZ","BM",9/17/2008 0:00:00
"suy","Suya","BR","BM",12/17/2010 0:00:00
"suz","Sunwar","NP","BM",6/27/2013 0:00:00
"sva","Svan","GG","BM",9/17/2008 0:00:00
"svb","Ulau-Suain","PP","BM",9/17/2008 0:00:00
"svc","Vincentian Creole English","VC","BM",9/17/2008 0:00:00
"sve","Serili","ID","BM",9/17/2008 0:00:00
"svk","Slovakian Sign Language","LO","BM",9/17/2008 0:00:00
"svm","Slavomolisano","IT","BM",5/17/2013 0:00:00
"svs","Savosavo","BP","BM",9/17/2008 0:00:00
"swb","Comorian, Maore","MF","BM",5/16/2013 0:00:00
"swc","Swahili, Congo","CG","BM",6/27/2013 0:00:00
"swe","Swedish","SW","BM",6/27/2013 0:00:00
"swf","Sere","CG","BM",9/17/2008 0:00:00
"swg","Swabian","GM","BM",12/17/2010 0:00:00
"swh","Swahili","TZ","BM",6/27/2013 0:00:00
"swi","Sui","CH","BM",9/17/2008 0:00:00
"swj","Sira","GB","BM",12/17/2010 0:00:00
"swk","Sena, Malawi","MI","BM",6/27/2013 0:00:00
"swl","Swedish Sign Language","SW","BM",12/17/2010 0:00:00
"swm","Samosa","PP","BM",9/17/2008 0:00:00
"swn","Sawknah","LY","BM",9/17/2008 0:00:00
"swo","Shanenawa","BR","BM",5/16/2013 0:00:00
"swp","Suau","PP","BM",6/27/2013 0:00:00
"swq","Sharwa","CM","BM",9/17/2008 0:00:00
"swr","Saweru","ID","BM",9/17/2008 0:00:00
"sws","Seluwasan","ID","BM",9/17/2008 0:00:00
"swt","Sawila","ID","BM",9/17/2008 0:00:00
"swu","Suwawa","ID","BM",9/17/2008 0:00:00
"swv","Shekhawati","IN","BM",9/17/2008 0:00:00
"sww","Sowa","NH","BM",9/17/2008 0:00:00
"swx","Suruaha","BR","BM",9/17/2008 0:00:00
"swy","Sarua","CD","BM",9/17/2008 0:00:00
"sxb","Suba","KE","BM",6/27/2013 0:00:00
"sxe","Sighu","GB","BM",9/17/2008 0:00:00
"sxg","Shixing","CH","BM",9/17/2008 0:00:00
"sxm","Samre","CB","BM",9/17/2008 0:00:00
"sxn","Sangir","ID","BM",6/27/2013 0:00:00
"sxr","Saaroa","TW","BM",9/17/2008 0:00:00
"sxs","Sasaru","NI","BM",9/17/2008 0:00:00
"sxu","Saxon, Upper","GM","BM",12/17/2010 0:00:00
"sxw","Gbe, Saxwe","BN","BM",9/17/2008 0:00:00
"sya","Siang","ID","BM",9/17/2008 0:00:00
"syb","Subanen, Central","RP","BM",6/27/2013 0:00:00
"syc","Syriac","TU","BM",6/27/2013 0:00:00
"syi","Seki","GB","BM",9/17/2008 0:00:00
"syk","Sukur","NI","BM",9/17/2008 0:00:00
"syl","Sylheti","BG","BM",12/17/2010 0:00:00
